player_id,install_date,install_month,spend_segment,market,platform,experiment_group,total_revenue,total_sessions,total_spins,first_purchase_date,last_session_date
1,2024-05-01,2024-05,Minnow,Australia,Android,,0,40,764,,2024-09-23
2,2024-08-08,2024-08,Minnow,Canada,iOS,Control,0,5,114,,2024-09-04
3,2024-04-01,2024-04,Minnow,US,iOS,,0,12,198,,2024-05-16
4,2024-06-08,2024-06,Minnow,Other,Android,,0,2,50,,2024-06-12
5,2024-06-20,2024-06,Minnow,Canada,iOS,,0,27,502,,2024-09-13
6,2024-04-10,2024-04,Minnow,US,iOS,,0,7,126,,2024-04-25
7,2024-08-18,2024-08,Minnow,US,Android,Treatment,0,12,269,,2024-09-25
8,2024-07-14,2024-07,Minnow,US,Android,Treatment,0,20,383,,2024-09-25
9,2024-06-25,2024-06,Minnow,US,iOS,,0,8,164,,2024-07-29
10,2024-08-14,2024-08,Minnow,Germany,iOS,Treatment,0,3,61,,2024-08-16
11,2024-04-30,2024-04,Minnow,US,iOS,,0,1,14,,2024-05-01
12,2024-09-11,2024-09,Minnow,US,Android,Treatment,0,6,98,,2024-09-22
13,2024-09-28,2024-09,Minnow,Germany,iOS,Control,0,0,0,,
14,2024-09-01,2024-09,Minnow,Other,iOS,Control,0,8,141,,2024-09-27
15,2024-05-28,2024-05,Minnow,Other,iOS,,0,33,654,,2024-09-27
16,2024-07-31,2024-07,Minnow,Germany,iOS,Treatment,0,20,447,,2024-09-28
17,2024-08-08,2024-08,Dolphin,Other,iOS,Control,349.99,40,2211,2024-08-08,2024-09-28
18,2024-06-14,2024-06,Dolphin,US,Android,,349.99,71,3899,2024-09-06,2024-09-28
19,2024-09-23,2024-09,Minnow,US,Android,Treatment,0,0,0,,
20,2024-07-10,2024-07,Dolphin,US,iOS,Control,0,46,2537,,2024-09-22
21,2024-04-22,2024-04,Minnow,UK,Android,,0,2,44,,2024-04-30
22,2024-04-10,2024-04,Minnow,UK,iOS,,349.99,11,247,2024-05-10,2024-05-18
23,2024-06-19,2024-06,Minnow,US,iOS,,0,28,570,,2024-09-28
24,2024-05-08,2024-05,Minnow,Other,iOS,,0,6,129,,2024-05-31
25,2024-09-13,2024-09,Minnow,Canada,iOS,Treatment,0,2,40,,2024-09-19
26,2024-05-07,2024-05,Minnow,UK,iOS,,0,3,45,,2024-05-12
