transaction_id,player_id,transaction_date,currency_type,bundle_tier,amount_usd,quantity_received,spend_segment,market,platform,experiment_group,install_date
1,42555,2024-04-02,coin,large,349.99,150000,Whale,US,Android,,2024-04-01
2,49756,2024-04-04,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-04
3,1501,2024-04-06,coin,small,29.99,10000,Minnow,Australia,Android,,2024-04-05
4,23241,2024-04-06,coin,medium,79.99,30000,Dolphin,US,Android,,2024-04-06
5,14383,2024-04-07,coin,medium,79.99,30000,Whale,US,iOS,,2024-04-01
6,29867,2024-04-07,coin,large,349.99,150000,Dolphin,US,Android,,2024-04-02
7,13314,2024-04-08,coin,medium,79.99,30000,Minnow,Australia,iOS,,2024-04-08
8,23455,2024-04-08,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-02
9,26794,2024-04-08,coin,small,29.99,10000,Dolphin,Other,Android,,2024-04-06
10,47915,2024-04-08,coin,large,349.99,150000,Whale,Other,Android,,2024-04-06
11,8010,2024-04-09,coin,large,349.99,150000,Whale,Other,Android,,2024-04-08
12,18516,2024-04-09,coin,large,349.99,150000,Whale,Canada,Android,,2024-04-09
13,25022,2024-04-09,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-09
14,29998,2024-04-09,coin,large,349.99,150000,Whale,Canada,Android,,2024-04-08
15,37391,2024-04-09,coin,large,349.99,150000,Dolphin,US,iOS,,2024-04-06
16,22048,2024-04-10,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-05
17,31631,2024-04-11,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-05
18,33066,2024-04-11,coin,large,349.99,150000,Whale,US,iOS,,2024-04-03
19,34790,2024-04-11,coin,large,349.99,150000,Dolphin,UK,iOS,,2024-04-03
20,47364,2024-04-11,coin,large,349.99,150000,Whale,US,iOS,,2024-04-08
21,12420,2024-04-12,coin,large,349.99,150000,Whale,Other,iOS,,2024-04-06
22,13877,2024-04-12,coin,large,349.99,150000,Dolphin,Germany,iOS,,2024-04-02
23,20220,2024-04-12,coin,large,349.99,150000,Whale,Australia,iOS,,2024-04-04
24,20712,2024-04-12,coin,large,349.99,150000,Whale,Other,Android,,2024-04-12
25,47364,2024-04-12,coin,large,349.99,150000,Whale,US,iOS,,2024-04-08
26,6537,2024-04-13,coin,medium,79.99,30000,Dolphin,UK,iOS,,2024-04-10
27,18720,2024-04-13,coin,micro,2.99,1000,Minnow,US,iOS,,2024-04-13
28,24898,2024-04-13,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-12
29,25022,2024-04-13,coin,large,349.99,150000,Whale,Canada,iOS,,2024-04-09
30,26019,2024-04-13,coin,medium,79.99,30000,Whale,Canada,iOS,,2024-04-05
31,41484,2024-04-13,coin,small,29.99,10000,Dolphin,US,iOS,,2024-04-02
32,17461,2024-04-14,coin,large,349.99,150000,Whale,US,iOS,,2024-04-02
33,31078,2024-04-14,coin,small,29.99,10000,Minnow,UK,iOS,,2024-04-11
