player_id,install_date,install_month,spend_segment,market,platform,experiment_group,total_revenue,total_sessions,total_spins,first_purchase_date,last_session_date
1,2024-08-04,2024-08,Minnow,US,Android,Treatment,0,16,313,,2024-09-18
2,2024-09-03,2024-09,Minnow,Germany,Android,Treatment,0,7,128,,2024-09-27
3,2024-08-26,2024-08,Minnow,US,iOS,Control,0,10,201,,2024-09-27
4,2024-07-21,2024-07,Minnow,US,iOS,Control,0,9,172,,2024-08-26
5,2024-06-24,2024-06,Minnow,US,iOS,,0,24,450,,2024-09-26
6,2024-04-05,2024-04,Dolphin,US,iOS,,140.88,115,6042,2024-04-12,2024-09-28
7,2024-07-30,2024-07,Minnow,Germany,iOS,Treatment,0,5,74,,2024-08-10
8,2024-05-01,2024-05,Minnow,US,Android,,1.99,21,458,2024-05-06,2024-07-25
9,2024-06-09,2024-06,Minnow,US,iOS,,6.98,26,516,2024-07-24,2024-09-28
10,2024-07-30,2024-07,Minnow,UK,iOS,Treatment,0,13,297,,2024-09-21
11,2024-05-16,2024-05,Minnow,Canada,Android,,19.99,32,645,2024-07-17,2024-09-27
12,2024-06-28,2024-06,Dolphin,US,iOS,,57.89,51,2891,2024-07-06,2024-09-23
13,2024-08-12,2024-08,Minnow,Australia,Android,Treatment,0,4,69,,2024-08-27
14,2024-07-29,2024-07,Minnow,UK,iOS,Treatment,0,4,80,,2024-08-10
15,2024-04-08,2024-04,Minnow,Germany,iOS,,0,7,118,,2024-05-02
16,2024-05-07,2024-05,Minnow,Canada,iOS,,0,4,81,,2024-05-22
17,2024-04-30,2024-04,Dolphin,Other,Android,,67.9,92,4806,2024-06-29,2024-09-25
18,2024-05-22,2024-05,Minnow,US,Android,,0,3,53,,2024-06-05
19,2024-07-05,2024-07,Minnow,Canada,iOS,Treatment,0,18,362,,2024-09-26
20,2024-08-04,2024-08,Minnow,US,iOS,Control,0,8,156,,2024-09-26
21,2024-06-23,2024-06,Minnow,US,iOS,,0,3,77,,2024-06-30
22,2024-08-08,2024-08,Minnow,Canada,iOS,Control,0,1,23,,2024-08-19
23,2024-08-28,2024-08,Minnow,Australia,Android,Treatment,0,7,122,,2024-09-19
24,2024-08-30,2024-08,Minnow,Canada,iOS,Control,0,7,150,,2024-09-25
25,2024-04-11,2024-04,Minnow,Germany,iOS,,0,40,826,,2024-09-25
26,2024-06-12,2024-06,Minnow,US,iOS,,1.99,12,214,2024-06-14,2024-07-16
27,2024-09-26,2024-09,Minnow,US,iOS,Control,0,0,0,,
28,2024-08-20,2024-08,Minnow,US,Android,Treatment,0,5,134,,2024-09-13
29,2024-07-20,2024-07,Minnow,US,iOS,Treatment,1.99,14,268,2024-07-26,2024-09-26
30,2024-07-16,2024-07,Minnow,Other,Android,Treatment,0,24,459,,2024-09-28
31,2024-04-23,2024-04,Minnow,Other,iOS,,1.99,29,575,2024-05-20,2024-08-15
32,2024-08-21,2024-08,Whale,US,Android,Treatment,236.81,58,8288,2024-08-23,2024-09-28
33,2024-05-05,2024-05,Dolphin,Canada,iOS,,94.9,95,5353,2024-05-15,2024-09-24
34,2024-07-10,2024-07,Minnow,US,iOS,Treatment,0,16,258,,2024-09-25
35,2024-08-23,2024-08,Minnow,UK,iOS,Treatment,19.99,7,145,2024-09-13,2024-09-27
36,2024-04-17,2024-04,Minnow,Canada,iOS,,0,48,1023,,2024-09-28
37,2024-04-12,2024-04,Minnow,US,Android,,0,10,231,,2024-05-05
38,2024-09-15,2024-09,Minnow,Germany,Android,Treatment,0,6,118,,2024-09-25
39,2024-05-03,2024-05,Minnow,Canada,iOS,,0,13,302,,2024-06-20
40,2024-09-27,2024-09,Minnow,Other,iOS,Treatment,0,1,26,,2024-09-28
41,2024-07-22,2024-07,Minnow,US,iOS,Treatment,0,8,128,,2024-09-01
42,2024-08-25,2024-08,Minnow,UK,Android,Treatment,0,7,118,,2024-09-26
43,2024-06-14,2024-06,Minnow,US,iOS,,0,5,119,,2024-07-07
44,2024-08-02,2024-08,Minnow,US,Android,Control,0,13,246,,2024-09-20
45,2024-06-12,2024-06,Minnow,US,iOS,,0,9,156,,2024-07-24
46,2024-07-17,2024-07,Minnow,Germany,Android,Control,1.99,23,431,2024-09-03,2024-09-15
47,2024-06-07,2024-06,Minnow,US,iOS,,0,10,189,,2024-07-26
48,2024-04-19,2024-04,Minnow,UK,iOS,,0,3,74,,2024-05-03
49,2024-09-14,2024-09,Minnow,Germany,Android,Treatment,0,5,105,,2024-09-27
50,2024-08-15,2024-08,Minnow,UK,Android,Control,0,0,0,,
51,2024-05-16,2024-05,Dolphin,US,iOS,,76.87,100,5760,2024-05-20,2024-09-27
52,2024-05-03,2024-05,Minnow,US,iOS,,1.99,37,733,2024-05-14,2024-09-21
